time,delta_f,delta_f_COI,P_BESS,P_Wind,SoH,Shortfall
351,0.311947822452274,0.306981002751416,18.7199689698279,0.00603451626184657,0.799998012014731,-0.000178318136853761
352,0.311874189356348,0.306907347295787,18.7155279067395,0.00598842325982347,0.799998006811198,-0.000176968605980932
353,0.311801113873622,0.306834249621712,18.7111204546591,0.00594269938019103,0.799998001608895,-0.000175629244008491
354,0.31172859178718,0.306761705508585,18.7067463603055,0.00589734082206076,0.799997996407812,-0.000174299975665093
355,0.311656618906453,0.306689710768693,18.7024053722579,0.0058523438359002,0.799997991207941,-0.000172980727064953
356,0.311585191073876,0.306618261244485,18.6980972409468,0.0058077047539764,0.799997986009271,-0.000171671424627817
357,0.31151430417285,0.306547352811831,18.6938217186381,0.00576342000696992,0.799997980811795,-0.000170371994581586
358,0.311443954100526,0.306476981374437,18.6895785594368,0.00571948606864226,0.799997975615504,-0.000169082364237738
359,0.311374136805259,0.306407142869303,18.6853675192439,0.0056758994880596,0.799997970420387,-0.00016780246171777
360,0.311304848247052,0.306337833265202,18.6811883557721,0.00563265689233128,0.799997965226436,-0.000166532214588955
361,0.311236084429067,0.306269048559615,18.6770408285359,0.00558975497426032,0.799997960033643,-0.00016527155101187
362,0.311167841378085,0.306200784778288,18.6729246988225,0.00554719045447567,0.799997954841999,-0.00016402040099095
363,0.311100115156521,0.306133037982714,18.6688397296842,0.00550496015293175,0.799997949651494,-0.000162778693294285
364,0.311032901850655,0.306065804259098,18.6647856859476,0.00546306094188571,0.799997944462121,-0.000161546357261955
365,0.310966197577389,0.305999079722624,18.6607623341687,0.00542148968846035,0.799997939273871,-0.000160323325218314
366,0.31089999848955,0.305932860524027,18.6567694426275,0.005380243403386,0.799997934086734,-0.000159109526393308
367,0.31083430076454,0.305867142837024,18.6528067813564,0.00533931909434988,0.799997928900704,-0.000157904892507332
